EmployeeID,Age,Attrition,BusinessTravel,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MeanTimeAtWorkByYear
1,51,0,2,6,2,0,1,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.3736506225000005
2,31,1,1,10,1,0,1,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.7189689263888885
3,32,0,1,17,4,1,4,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7.013240358055556
4,38,0,0,2,5,1,3,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.193678486944444
5,32,0,2,10,1,1,1,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.006174603055555
6,46,0,2,8,3,0,4,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10.796095874166665
7,28,1,2,11,2,1,2,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.923570402222222
8,29,0,2,18,3,1,2,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.725620713055555
9,31,0,2,1,3,1,3,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.236498792222222
10,25,0,0,7,4,0,4,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.080087844166667
11,45,0,2,17,2,1,2,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.403485476944445
12,36,0,2,28,1,1,1,33770,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.068954587222223
